Title,P-ISSN,E-ISSN,Source Type,All Science Classification Codes (ASJC)
Mental Health in Family Medicine,1756834X,,Journal,3203; 2739; 2738;
Metalurgia International,15822214,,Journal,2505; 2211; 2506;
Middle East Journal of Scientific Research,19909233,19998147 ,Journal,1000;
Modern Applied Science,19131844,19131852 ,Journal,1000;
Quality in Primary Care,14791072,14791064,Journal,2739; 2719;
"Research Journal of Applied Sciences, Engineering and Technology",20407459,20407467 ,Journal,2200; 1700;
Review of European Studies,19187173,19187181 ,Journal,3316; 1202; 
Technics Technologies Education Management,18401503,,Journal,2200; 2300; 1700; 3304;
Theory and Practice in Language Studies,17992591,20530692 ,Journal,3310; 1203; 
Translational Biomedicine,21720479,,Journal,2701;
"World Academy of Science, Engineering and Technology",2010376X,20103778 ,Journal,2200;
World Applied Sciences Journal,18184952,19916426 ,Journal,1000;
World Journal of Medical Sciences,18173055,19904061,Journal,2700;
Sensors and Transducers,17265479,,Trade Journal,2207; 2208;
Acta Horticulturae,05677572,,Book Series,1108;
Advances in Agronomy,00652113,,Book Series,1111; 1102;
Advances in Anatomy Embryology and Cell Biology,03015556,,Book Series,2702; 1307; 1309; 2710;
Advances in Antiviral Drug Design,10758593,,Book Series,2725; 2406; 3000; 2736;
Advances in Applied Microbiology,00652164,,Book Series,2402;
Advances in Astrobiology and Biogeophysics,16108957,16131851,Book Series,3103; 1908; 1101; 1902; 1912;
Advances in Biochemical Engineering/Biotechnology,07246145,16168542,Book Series,2402; 1502; 1305;
Advances in Biological Psychiatry,03787354,,Book Series,2738; 2803; 
Advances in Biological Regulation,22124926,22124934 ,Book Series,1311; 1312; 1313; 1306; 
Advances in Botanical Research,00652296,,Book Series,1110;
Advances in Cancer Research,0065230X,,Book Series,1306; 2730;
Advances in Cell Aging and Gerontology,15663124,,Book Series,2717; 1302;
Advances in Cellular and Molecular Biology of Membranes and Organelles,18745172,,Book Series,1312; 1307;
Advances in child development and behavior,00652407,,Book Series,2735; 2802; 3204;
Advances in Clinical Chemistry,00652423,,Book Series,1600; 1308;
Advances in Developmental Biology,15743349,,Book Series,1303; 1309;
Advances in Developmental Biology (1992),15663116,,Book Series,1309;
Advances in Developmental Biology and Biochemistry,15691799,,Book Series,1303; 1309; 1307;
Advances in DNA Sequence-Specific Agents,1067568X,,Book Series,1312;
Advances in Ecological Research,00652504,,Book Series,2303; 1105;
Advances in Enzyme Regulation,00652571,,Book Series,1311; 1313; 1312; 1306;
Advances in Enzymology and Related Areas of Molecular Biology,0065258X,,Book Series,1303; 1312;
Advances in Experimental Biology,18722423,,Book Series,1300;
Advances in Experimental Medicine and Biology,00652598,,Book Series,1300; 2700;
Advances in Food and Nutrition Research,10434526,,Book Series,1106;
Advances in Genetics,00652660,,Book Series,1311;
Advances in Genome Biology,10675701,,Book Series,1311; 1307;
Advances in Immunology,00652776,,Book Series,2403; 2723;
Advances in Insect Physiology,00652806,,Book Series,1109;
Advances in Lipobiology,18745245,,Book Series,1303; 2704; 1307;
Advances in Marine Biology,00652881,,Book Series,1105; 1104;
Advances in Microbial Ecology,01474863,,Book Series,2303; 2404;
Advances in Microbial Physiology,00652911,,Book Series,2404; 1314;
Advances in Molecular and Cell Biology,15692558,,Book Series,1307; 1312;
Advances in Molecular and Cellular Endocrinology,15692566,,Book Series,1310;
Advances in Molecular Toxicology,18720854,,Book Series,3004; 3005; 2307;
Advances in Oncobiology,1569254X,,Book Series,2730; 1306;
Advances in Organ Biology,15692590,,Book Series,1303; 2729;
Advances in Organometallic Chemistry,00653055,,Book Series,1303; 1604;
Advances in Pharmacology,10543589,,Book Series,3004;
Advances in Phytomedicine,1572557X,,Book Series,3002; 1110;
Advances in Planar Lipid Bilayers and Liposomes,15544516,,Book Series,1303; 1502; 1304;
Advances in Plant Biochemistry and Molecular Biology,17550408,,Book Series,1110; 1303; 1311; 1312; 1305;
Advances in Protein Chemistry,00653233,,Book Series,1303;
Advances in Protein Chemistry and Structural Biology,18761623,18761631,Book Series,1303; 1315;
Advances in Space Biology and Medicine,15692574,,Book Series,1314;
Advances in Structural Biology,10646000,,Book Series,1315;
Advances in the Study of Behavior,00653454,,Book Series,3206; 2802; 1103;
Advances in Virus Research,00653527,,Book Series,2725; 2406;
Alkaloids: Chemical and Biological Perspectives,07358210,,Book Series,1605; 3002;
Alkaloids: Chemistry and Biology,10994831,,Book Series,1303;
Alkaloids: Chemistry and Pharmacology,00999598,,Book Series,1303; 3004;
Analytical Profiles of Drug Substances and Excipients,10756280,,Book Series,3004; 3003; 3002;
Annual Reports in Medicinal Chemistry,00657743,15578437,Book Series,1303; 1605;
Annual Review of Biophysics and Biomolecular Structure,10568700,15454266,Book Series,1315; 1304;
Annual Review of Cell and Developmental Biology,10810706,15308995,Book Series,1307; 1309;
Annual Review of Genomics and Human Genetics,15278204,1545293X,Book Series,1311; 1312; 2716;
Annual Review of Gerontology and Geriatrics,01988794,,Book Series,1302; 2717; 2909; 3306;
Annual Review of Neuroscience,0147006X,15454126,Book Series,2800;
Annual Review of Phytopathology,00664286,,Book Series,1110;
Annual Review of Plant Biology,15435008,,Book Series,1110; 1307; 1312; 1314;
Applied Mycology and Biotechnology,18745334,,Book Series,2402;
Archiv für Molluskenkunde,00039284,,Book Series,1103;
Biochemistry and Molecular Biology of Fishes,18730140,,Book Series,1312; 1303; 1104;
Biology of Growing Animals,18771823,,Book Series,1103;
Biomedical Research Reports,18745326,,Book Series,2406; 2403;
Biomembranes: A Multi-Volume Treatise,18745342,,Book Series,1303; 1307;
Biotechnology Annual Review,13872656,,Book Series,1305;
Birkhauser Advances in Infectious Diseases,,,Book Series,2725; 2404;
Blue Books of Neurology,1877184X,,Book Series,2728; 2808;
Blue Books of Practical Neurology,18773419,,Book Series,2728; 2808;
Boissiera,03732975,,Book Series,1105; 2303; 
Bonner Zoologische Monographien,0302671X,,Book Series,1103; 1105; 1109; 
British Mycological Society Symposia Series,02750287,,Book Series,2404;
Cancer Drug Discovery and Development,21969914,,Book Series,3002; 2730; 1306; 
Cancer Metastasis - Biology and Treatment,15682102,,Book Series,2730; 1306; 
Carbohydrate Chemistry,2041353X,14651963 ,Book Series,1303; 1605; 
Cell and Molecular Response to Stress,15681254,,Book Series,1312; 1314; 1307;
"Cheese: Chemistry, Physics and Microbiology",1874558X,,Book Series,1106; 2402;
CIESM Workshop Monographs,17265886,,Book Series,1105; 1104; 
Comprehensive Biochemistry,00698032,,Book Series,1207; 1300;
Comprehensive Series in Photosciences,1568461X,,Book Series,2708; 1304; 1301;
Current Cancer Research,09400745,,Book Series,2730; 1306; 
Current Topics in Developmental Biology,00702153,,Book Series,1307; 1309;
Current Topics in Membranes and Transport,00702161,,Book Series,1312; 1307;
Current Topics in Microbiology and Immunology,0070217X,,Book Series,2403; 2404; 2726; 2723;
Current Topis in Membranes,10635823,,Book Series,1307; 1312;
Cytoskeleton: A Multi-Volume Treatise,18746020,,Book Series,1315;
Developments in Agricultural Engineering,01674137,,Book Series,1100; 2210;
Developments in Aquaculture and Fisheries Science,01679309,,Book Series,2303; 1105; 1104;
Developments in Biologicals,14246074,,Book Series,3002; 2739; 2400;
Developments in Crop Science,0378519X,,Book Series,1102;
Developments in Food Science,01674501,,Book Series,1106;
Developments in Plant Genetics and Breeding,01687972,,Book Series,1311; 1110;
Developments in Soil Science,01660918,,Book Series,1904; 2304; 1111;
"Drug, Healthcare and Patient Safety",11791365,,Book Series,2719; 3004;
EAAP Scientific Series,00712477,,Book Series,1103; 1102; 1106;
Enzymes,18746047,,Book Series,1304; 1305; 1312; 1303;
Epigenetics and Human Health,21912262,,Book Series,1311; 1301; 2701; 
Fauna of Arabia,16602889,,Book Series,1103; 1105; 1109; 
Fish Physiology,15465098,,Book Series,1103; 1314;
Folia Geographica Danica,00716693,,Book Series,2304; 1111; 2310;
Food and Nutritional Components in Focus,20451695,,Book Series,1106; 1602; 
Foundations of Modern Biochemistry,18745660,,Book Series,1303;
Frontiers in Diabetes,02515342,16622995 ,Book Series,2724; 2712; 1310;
Frontiers in Drug Design and Discovery,15672042,,Book Series,1313; 3003; 3002;
Frontiers of Hormone Research,03013073,,Book Series,2712; 1310;
Genome Dynamics and Stability,18613373,18613381,Book Series,1307; 1311; 1312;
Genome Mapping and Genomics in Animals,,,Book Series,1311; 1103;
Growth Factors and Cytokines in Health and Disease,18745687,,Book Series,1303; 2700; 1306; 1307;
Handbook of Agricultural Economics,15740072,,Book Series,2002; 1103; 1102;
Handbook of Analytical Separations,15677192,,Book Series,2304; 2734; 1602; 3000;
Handbook of Behavioral Neuroscience,15697339,,Book Series,2805; 2802;
Handbook of Biological Physics,13838121,,Book Series,1304;
Handbook of Chemical Neuroanatomy,09248196,,Book Series,2804;
Handbook of Clinical Neurology,00729752,,Book Series,2728; 2808;
Handbook of Clinical Neurophysiology,15674231,,Book Series,2728; 2800;
Handbook of Experimental Pharmacology,01712004,,Book Series,1303; 3000;
Handbook of Immunohistochemistry and in Situ Hybridization of Human Carcinomas,18745784,,Book Series,2403; 3607; 2730; 2704;
Handbook of Perception and Action,18745822,,Book Series,2805; 2809; 2808; 3206; 3205; 2801; 3204;
Handbook of Systemic Autoimmune Diseases,15715078,,Book Series,2403; 2712; 2723;
Herpetological Monographs,07331347,,Book Series,1105;
History of Neuroscience in Autobiography,18746055,,Book Series,2801;
Hot Topics in Neurology and Psychiatry,19747640,,Book Series,2738; 2728; 2808;
Immunotoxicology of Drugs and Chemicals: an Experimental and Clinical Approach,18739822,,Book Series,3005; 2403;
"International Journal of Interferon, Cytokine and Mediator Research",1179139X,,Book Series,2403; 2723;
International Review of Neurobiology,00747742,,Book Series,2728; 2804;
Issues in Toxicology,17577179,,Book Series,3004; 3005; 2307; 
Journal of Chromatography Library,03014770,,Book Series,1303; 1506; 1308; 1602;
Journal of Inflammation Research,11787031,,Book Series,2403; 2723;
Journal of the Austrian Society of Agricultural Economics,18158129,18151027 ,Book Series,1102; 1107; 2002; 
Laboratory Techniques in Biochemistry and Molecular Biology,00757535,,Book Series,1303; 3607; 1312;
Large Marine Ecosystems,15700461,,Book Series,1105; 1104; 1910;
Malacologia,00762997,,Book Series,1103;
Mammalian Species,00763519,15451410,Book Series,1103; 1105;
Membrane Protein Transport,1874592X,,Book Series,1303; 1307;
Metal Ions in Biological Systems,01615149,,Book Series,1303; 1604;
Methods in Biotechnology,19406061,1940607X,Book Series,1305; 
Methods in Cell Biology,0091679X,,Book Series,1307;
Methods in Microbiology,05809517,,Book Series,2404; 2726;
Methods in Molecular Genetics,10672389,,Book Series,1311; 1312;
Methods in Neurosciences,10439471,,Book Series,2800;
Methods in Pharmacology and Toxicology,15572153,,Book Series,2736; 1313; 3000;
Methods of Biochemical Analysis,00766941,,Book Series,1303; 1605;
Milestones in Drug Therapy,22966056,,Book Series,3001; 3002; 
Modern Trends in Pharmacopsychiatry,16622685,,Book Series,2738; 3004;
Monografies de la Societat d'Historia Natural de les Balears,,,Book Series,1100; 
Monographs in Virology,00770965,16623851 ,Book Series,2725; 2406;
NAD Nordic Studies on Alcohol and Drugs,03587024,,Book Series,2738; 3004; 2701;
"Nanotechnology, Science and Applications",11778903,,Book Series,2204; 3003; 1502;
NATO Science for Peace and Security Series A: Chemistry and Biology,18746489,,Book Series,1301; 1600; 2213;
NATO Science for Peace and Security Series B: Physics and Biophysics,18746500,,Book Series,1304; 1305; 2208; 3100;
NATO Security through Science Series A: Chemistry and Biology,18714641,,Book Series,1600; 1305; 3000;
NATO Security through Science Series B: Physics and Biophysics,1871465X,,Book Series,3101; 1305; 1304; 3106;
Nematology Monographs and Perspectives,15735869,,Book Series,1103; 1105; 
Nestlé Nutrition Institute workshop series,16642155,,Book Series,1106; 2916; 2735; 
Nestle Nutrition Workshop Series: Pediatric Program,16616677,16623878 ,Book Series,1106; 2916; 2735; 
NeuroImmune Biology,15677443,,Book Series,2728; 2808; 2403;
Neuromethods,08932336,19406045,Book Series,2800; 1300; 2738; 3000;
New Comprehensive Biochemistry,01677306,,Book Series,1303;
NIWA Biodiversity Memoirs,11740043,,Book Series,1104; 1910;
Nuclear Magnetic Resonance,03059804,,Book Series,1303; 1607; 1602;
Oceanography and Marine Biology: an annual review,00783218,,Book Series,1104;
Organophosphorus Chemistry,03060713,,Book Series,1605; 1303;
Ornithological Monographs,00786594,,Book Series,1103; 1105;
Perspectives in Bioanalysis,18710069,,Book Series,1300; 1606; 1602; 1603;
Perspectives in Medical Virology,01687069,,Book Series,2406;
Pharmacochemistry Library,01657208,,Book Series,1605; 3004; 3002;
Pharmacogenomics and Personalized Medicine,11787066,,Book Series,3004; 1313;
Plant Breeding Reviews,07302207,,Book Series,1311; 1102; 1110; 
Plant Cell Monographs,18611370,18611362,Book Series,1110; 1307; 1311; 1312;
Polish Botanical Studies,08670730,,Book Series,1100;
Practical Logic of Cognitive Systems,18745075,,Book Series,1701; 2601; 3205; 2801; 2609;
Principles of Medical Biology,15692582,,Book Series,1300; 2700;
"Profiles of Drug Substances, Excipients and Related Methodology",18715125,,Book Series,3003; 1313; 3004;
Progress in Biotechnology,09210423,,Book Series,1305;
Progress in Drug Research,0071786X,,Book Series,1313; 3000;
Progress in Experimental Tumor Research,00796263,,Book Series,1306;
Progress in Industrial Microbiology,00796352,,Book Series,1305; 2402;
Progress in Medicinal Chemistry,00796468,,Book Series,1313; 3004;
Progress in Nucleic Acid Research and Molecular Biology,00796603,,Book Series,1312;
Progress in Pharmaceutical and Biomedical Analysis,14643456,,Book Series,1305; 1303; 2204; 1301; 3001;
Protein Reviews,18713025,,Book Series,1303;
Recent Advances in Phytochemistry,00799920,,Book Series,1312; 1303; 1110; 1307;
Research and Perspectives in Endocrine Interactions,18612253,,Book Series,1310; 2712; 
Research and Perspectives in Neurosciences,09456082,,Book Series,2800; 
Research on Chrysomelidae,18763111,,Book Series,1105; 1109; 
Results and Problems in Cell Differentiation,00801844,,Book Series,1307; 1309;
Reviews of Physiology Biochemistry and Pharmacology,03034240,,Book Series,1303; 1314; 3004;
RSC Biomolecular Sciences,17577152,,Book Series,1303; 1312; 1600; 
RSC Chromatography Monographs,17577055,,Book Series,1303; 1501; 1602; 
RSC Detection Science,20523068,,Book Series,2310; 2704; 1300; 2304; 1502; 1600; 2734; 
RSC Drug Discovery Series,20413203,,Book Series,3002;
RSC Food Analysis Monographs,17577098,,Book Series,1605; 1106; 2307; 
RSC Green Chemistry,17577039,,Book Series,2310; 1303; 2304; 2308; 
RSC Metallobiology,2045547X,,Book Series,1301; 
RSC Polymer Chemistry Series,,,Book Series,2502; 1305; 1502; 2507; 
RSC Smart Materials,20460066,,Book Series,1305; 2102; 2204; 2500; 2208; 
RSC Soft Matter,,,Book Series,1303; 1500; 1600; 
Seminars in Organic Synthesis,,,Book Series,1303; 1605;
Side Effects of Drugs Annual,03786080,,Book Series,2709; 3004; 2736;
Silva Fennica Monographs,14577356,,Book Series,1107;
SpringerBriefs in Applied Sciences and Technology,2191530X,21915318 ,Book Series,2200; 1305; 2102; 2600; 2500; 1500; 
Strategies and Tactics in Organic Synthesis,18746004,,Book Series,1605; 3002;
Studies in Avian Biology,01979922,,Book Series,2303; 1105; 2309; 1103;
Studies in Natural Products Chemistry,15725995,,Book Series,1605; 3002;
Studies in Plant Science,09283420,,Book Series,1110;
Sugar Series,01677675,,Book Series,1106; 1501;
Synthesis Lectures on Biomedical Engineering,19300328,,Book Series,2204; 1303; 1502; 1305;
Techniques in Protein Chemistry,10808914,,Book Series,1312; 1303; 1315; 1602;
Theoretical Ecology Series,1875306X,,Book Series,1105;
Topics in Current Genetics,16102096,,Book Series,1307; 1309; 1311; 1312;
Topics in Medicinal Chemistry,18622461,,Book Series,1313; 3002;
Virus Adaptation and Treatment,11791624,,Book Series,2406; 2725; 2403;
Vitamins and Hormones,00836729,,Book Series,1310; 1314;
World Crop Pests,15724379,,Book Series,1102;
"Amino Acids, Peptides and Proteins",13615904,,Book Series ,1303;
Annual Review of Pathology: Mechanisms of Disease,15534006,15534014,Book Series ,1110;
Frontiers in Medicinal Chemistry,15740889,,Book Series ,1303; 1605; 3002; 3003; 1313;
AACL Bioflux,18448143,18449166 ,Journal,2312; 1105; 1104; 2308;
AAPS Journal,15507416,,Journal,3003;
AAPS PharmSci,15221059,,Journal,3003;
AAPS PharmSciTech,15309932,15221059,Journal,3003;
Abstracta Botanica,01336215,,Journal,1100;
Academic Journal of Xi'an Jiaotong University,16718267,,Journal,1300; 2700;
Acarina,01328077,22215115 ,Journal,1109; 
Acarologia,0044586X,,Journal,1109; 1105;
ACS chemical biology,15548929,15548937,Journal,1303; 1313;
ACS Chemical Neuroscience,19487193,,Journal,2805; 1303; 1314; 1307;
ACS Medicinal Chemistry Letters,19485875,,Journal,1303; 1605; 3002;
ACS Photonics,,23304022,Journal,1305; 2504; 3107; 2208; 
ACS Synthetic Biology,21615063,,Journal,2204; 1301; 
Acta Agriculturae Scandinavica - Section A: Animal Science,09064702,16511972,Journal,1103;
Acta Agriculturae Scandinavica - Section B Soil and Plant Science,09064710,16511913,Journal,1111; 1102;
Acta Agriculturae Slovenica,15819175,,Journal,1100; 2312;
Acta Agronomica,01202812,,Journal,1102; 1111; 
Acta Agronomica Hungarica,02380161,,Journal,1102;
Acta Agronomica Sinica,18752780,,Journal,1110; 1102;
Acta Alimentaria,01393006,,Journal,1106;
Acta Amazonica,00445967,,Journal,1100;
Acta Anatomica Sinica,05291356,,Journal,2702; 1315; 2722; 2710;
Acta Arachnologica,00015202,,Journal,1105;
Acta Biochimica et Biophysica Hungarica,02376261,,Journal,1303; 1304;
Acta Biochimica et Biophysica Sinica,16729145,17457270,Journal,1303; 1304;
Acta Biochimica et Biophysica Sinica,05829879,,Journal,1304; 1303;
Acta Biochimica Polonica,0001527X,,Journal,1300;
Acta Biologica Academiae Scientiarum Hungaricae,00015288,,Journal,1100;
Acta Biologica Colombiana,0120548X,,Journal,1100;
Acta Biologica Cracoviensia Series Botanica,00015296,,Journal,1110;
Acta Biologica Cracoviensia Series Zoologia,0001530X,,Journal,1103;
Acta Biologica Hungarica,02365383,,Journal,1300; 2300; 2808;
Acta Biologica Szegediensis,1588385X,15884082,Journal,1100; 1300;
Acta Biomaterialia,17427061,,Journal,2204; 1303; 2502; 1312; 1305;
Acta Bioquimica Clinica Latinoamericana,03252957,,Journal,1308;
Acta Biotechnologica,01384988,,Journal,2402; 1502; 1305;
Acta Biotheoretica,00015342,15728358,Journal,1100; 1300; 2300; 1211; 2604;
Acta Botanica Brasilica,01023306,,Journal,1110;
Acta Botanica Croatica,03650588,,Journal,1110; 1105;
Acta Botanica Fennica,00015369,,Journal,2303; 1110;
Acta Botanica Gallica,12538078,,Journal,1110;
Acta Botanica Hungarica,02366495,15882578,Journal,1110; 1105;
Acta Botanica Mexicana,01877151,,Journal,1105; 1110;
Acta Botanica Neerlandica,00445983,,Journal,1110;
Acta Botanica Sinica,05777496,,Journal,1110; 1303; 1300;
Acta Botanica Venezuelica,00845906,,Journal,1110;
Acta Chiropterologica,15081109,,Journal,1103;
Acta Cientifica Venezolana,00015504,,Journal,1110; 1300; 1311; 3005;
Acta Crystallographica Section A: Foundations and Advances,,20532733,Journal,1604; 3104; 1606; 1303; 1315; 2500; 
Acta Crystallographica Section A: Foundations of Crystallography,01087673,,Journal,1315;
Acta Crystallographica Section B: Structural Science,01087681,16005740,Journal,1300;
Acta Crystallographica Section C: Crystal Structure Communications,01082701,16005759,Journal,1300;
Acta Crystallographica Section D: Biological Crystallography,09074449,13990047,Journal,1315;
Acta Crystallographica Section F: Structural Biology and Crystallization Communications,17443091,,Journal,1303; 1315; 1311; 1304; 3104;
Acta Crystallographica Section F: Structural Biology Communications,,2053230X,Journal,1304; 3104; 1311; 1303; 1315; 2700; 
Acta Diabetologica,09405429,,Journal,2724; 2712; 1310;
Acta Diabetologica Latina,00015563,,Journal,2724; 2712; 1310;
Acta Ecologica Sinica,10000933,,Journal,2303; 1105;
Acta Embryologiae et Morphologiae Experimentalis,03919706,,Journal,2702; 1309; 2710;
Acta Endocrinologica,18410987,,Journal,1310;
Acta Endocrinologica,00015598,,Journal,1310;
"Acta Endocrinologica, Supplement",03009750,,Journal,1310;
Acta Entomologica Musei Nationalis Pragae,03741036,,Journal,1105; 1109;
Acta Ethologica,08739749,14379546,Journal,1105; 1103;
Acta Facultatis Pharmaceuticae Universitatis Comenianae,03012298,,Journal,2736; 3000;
Acta Facultatis Xylologiae,13363824,,Journal,1107;
Acta Farmaceutica Bonaerense,03262383,,Journal,3002; 3003;
Acta Forestalia Fennica,00015636,,Journal,1100;
Acta Herpetologica,18279635,18279643,Journal,1103;
Acta Histochemica,00651281,,Journal,1307; 2722;
Acta Histochemica et Cytochemica,00445991,13475800,Journal,1303; 1307; 2734; 2722; 1314;
Acta Hydrochimica et Hydrobiologica,03234320,1521401X,Journal,2300; 2312; 2304; 1104;
Acta Ichthyologica et Piscatoria,01371592,17341515,Journal,1104;
Acta Limnologica Brasiliensia,01026712,,Journal,2312; 1105; 1104; 2303; 
Acta Medica et Biologica,05677734,,Journal,1300;
Acta Medica Okayama,0386300X,,Journal,1300; 2700;
Acta Microbiologica et Immunologica,12178950,15882640,Journal,2400; 2700;
Acta Microbiologica Hellenica,04389573,,Journal,2403; 2404; 2726;
Acta Microbiologica Hungarica,02314622,,Journal,2404; 2726;
Acta Microbiologica Polonica,01371320,,Journal,2402;
Acta Naturae,20758251,,Journal,1305; 1312; 1303; 1313; 
Acta Neurobiologiae Experimentalis,00651400,,Journal,2800;
Acta Neurologica Scandinavica,00016314,16000404,Journal,2728; 2808;
Acta Neurologica Taiwanica,1028768X,,Journal,2728; 2808;
Acta Neuropathologica,00016322,14320533,Journal,2728; 2804; 2734;
Acta Neuropsychiatrica,09242708,16015215,Journal,2738; 2803;
Acta Neuropsychologica,17307503,,Journal,3206; 2800;
Acta neurovegetativa,03759245,,Journal,2800;
Acta Oceanologica Sinica,0253505X,,Journal,1910; 1104;
Acta Oecologica,1146609X,,Journal,1105; 2309;
Acta of Bioengineering and Biomechanics,1509409X,,Journal,2204; 2502; 1502; 1304;
"Acta Oncologica, Supplement",11001704,,Journal,2741; 1306;
Acta Ornithologica,00016454,,Journal,1103;
Acta Palaeobotanica,00016594,,Journal,1100; 1900;
Acta Parasitologica,12302821,,Journal,2405;
Acta Parasitologica Polonica,00651478,,Journal,2405;
Acta Pharmaceutica,13300075,,Journal,3003; 3004;
Acta Pharmaceutica Fennica,03563456,,Journal,3003;
Acta Pharmaceutica Hungarica,00016659,,Journal,3003;
Acta Pharmaceutica Jugoslavica,00016667,,Journal,3003;
Acta Pharmaceutica Nordica,11001801,,Journal,3003;
Acta Pharmaceutica Sciencia,13072080,,Journal,3003;
Acta Pharmaceutica Suecica,00016675,,Journal,3003;
Acta Pharmaceutica Technologica,03403157,,Journal,3003;
Acta Pharmaceutica Turcica,1300638X,,Journal,3003;
Acta Pharmaceutica Turcica,10100849,,Journal,3003;
Acta Pharmacologica et Toxicologica,00016683,,Journal,3005; 3004;
Acta Pharmacologica Sinica,16714083,17457254,Journal,3004; 2736;
Acta Physiologiae Plantarum,01375881,,Journal,1110; 1102; 1314;
Acta Physiologica,17481708,17481716,Journal,1314;
Acta Physiologica Academiae Scientiarum Hungaricae,00016756,,Journal,1314;
